id,name,year
205,Mad Max: Fury Road,(2015)
206,Vikram Vedha,(2017)
207,Million Dollar Baby,(2004)
208,Network,(1976)
209,Stand by Me,(1986)
210,Dead Poets Society,(1989)
211,Cool Hand Luke,(1967)
212,Ben-Hur,(1959)
213,Hachi: A Dog's Tale,(2009)
214,Harry Potter and the Deathly Hallows: Part 2,(2011)
215,Platoon,(1986)
216,Into the Wild,(2007)
217,Logan,(2017)
218,The Handmaiden,(2016)
219,The Wages of Fear,(1953)
220,Monty Python's Life of Brian,(1979)
221,Rush,(2013)
222,The Passion of Joan of Arc,(1928)
223,The 400 Blows,(1959)
224,Spotlight,(2015)
225,Andrei Rublev,(1966)
226,Hotel Rwanda,(2004)
227,La Haine,(1995)
228,Amores Perros,(2000)
229,Rocky,(1976)
230,Nausicaä of the Valley of the Wind,(1984)
231,Gangs of Wasseypur,(2012)
232,Rififi,(1955)
233,"Monsters, Inc.",(2001)
234,Rebecca,(1940)
235,Rang De Basanti,(2006)
236,Before Sunset,(2004)
237,In the Mood for Love,(2000)
238,Portrait of a Lady on Fire,(2019)
239,"Paris, Texas",(1984)
240,It Happened One Night,(1934)
241,Drishyam,(2015)
242,The Invisible Guest,(2016)
243,The Help,(2011)
244,The Princess Bride,(1987)
245,The Battle of Algiers,(1966)
246,Tangerines,(2013)
247,The Circus,(1928)
248,The Terminator,(1984)
249,A Silent Voice: The Movie,(2016)
